epoch,train_srcc,test_srcc,best_srcc,rl2
234,0.9660,0.7065,0.8398,0.6144
235,0.9646,0.7392,0.8398,0.6064
236,0.9614,0.7129,0.8398,0.6245
237,0.9678,0.7236,0.8398,0.6040
238,0.9624,0.7122,0.8398,0.6112
239,0.9638,0.7375,0.8398,0.6389
240,0.9609,0.7358,0.8398,0.6526
241,0.9615,0.7337,0.8398,0.6202
242,0.9618,0.7340,0.8398,0.6172
243,0.9687,0.7280,0.8398,0.6149
244,0.9639,0.7483,0.8398,0.6303
245,0.9632,0.7054,0.8398,0.5922
246,0.9679,0.6917,0.8398,0.6186
247,0.9625,0.7064,0.8398,0.6002
248,0.9645,0.7362,0.8398,0.6258
249,0.9626,0.7239,0.8398,0.6228
250,0.9656,0.7339,0.8398,0.6053
251,0.9570,0.7292,0.8398,0.6010
252,0.9629,0.7308,0.8398,0.5642
253,0.9653,0.7033,0.8398,0.5927
254,0.9622,0.7189,0.8398,0.5838
255,0.9641,0.6977,0.8398,0.6125
256,0.9671,0.7393,0.8398,0.6310
257,0.9656,0.7067,0.8398,0.6111
258,0.9610,0.7314,0.8398,0.6203
259,0.9705,0.7064,0.8398,0.6276
260,0.9708,0.7279,0.8398,0.6368
261,0.9659,0.7376,0.8398,0.6496
262,0.9677,0.7216,0.8398,0.6372
263,0.9634,0.7523,0.8398,0.6452
264,0.9645,0.7130,0.8398,0.6048
265,0.9674,0.7096,0.8398,0.6195
266,0.9618,0.7161,0.8398,0.6048
267,0.9631,0.7078,0.8398,0.6216
268,0.9681,0.7287,0.8398,0.6059
269,0.9701,0.7336,0.8398,0.6147
270,0.9687,0.7222,0.8398,0.6009
271,0.9633,0.7245,0.8398,0.6095
272,0.9612,0.7143,0.8398,0.6046
273,0.9663,0.7046,0.8398,0.6145
274,0.9710,0.7107,0.8398,0.6045
275,0.9661,0.6971,0.8398,0.6145
276,0.9602,0.6895,0.8398,0.6107
277,0.9635,0.7399,0.8398,0.6388
278,0.9636,0.7173,0.8398,0.6074
279,0.9626,0.7435,0.8398,0.6671
280,0.9598,0.7337,0.8398,0.6031
281,0.9671,0.7187,0.8398,0.6191
282,0.9639,0.7186,0.8398,0.6044
283,0.9646,0.7341,0.8398,0.6614
284,0.9637,0.7294,0.8398,0.6141
285,0.9642,0.7330,0.8398,0.6061
286,0.9623,0.7359,0.8398,0.6429
287,0.9632,0.7256,0.8398,0.6219
288,0.9602,0.7112,0.8398,0.5929
289,0.9599,0.7021,0.8398,0.6002
290,0.9654,0.6957,0.8398,0.6169
291,0.9659,0.7333,0.8398,0.6430
292,0.9665,0.7184,0.8398,0.6130
293,0.9637,0.7226,0.8398,0.6267
294,0.9668,0.7177,0.8398,0.6447
295,0.9668,0.7124,0.8398,0.6141
296,0.9628,0.7245,0.8398,0.6214
297,0.9639,0.7207,0.8398,0.6413
298,0.9597,0.7347,0.8398,0.6293
