------------------------------EXP1------------------------------

===========================================================================
  Dataset: fisv  |  Label: TES  |  Seed: 999
  Backbone: vivit  |  Neck: TQN  |  Layers: 2  |  Query Var: 2  |  PE: query_pe
  Att Loss: True  |  Dino Loss: True  |  Epochs: 1000  |  LR: 5e-05  |  Batch: 32
===========================================================================
Epoch  |  Train SRCC  |  Test SRCC  |  Best SRCC  |        RL2  | Note
  184  |      0.7842  |     0.6556  |     0.6925  |     2.6395  | 
  185  |      0.7828  |     0.6575  |     0.6925  |     2.6316  | 
  186  |      0.7893  |     0.6539  |     0.6925  |     2.6484  | 
  187  |      0.7781  |     0.6525  |     0.6925  |     2.6456  | 
  188  |      0.7835  |     0.6587  |     0.6925  |     2.6324  | 
  189  |      0.7879  |     0.6488  |     0.6925  |     2.6393  | 
  190  |      0.7835  |     0.6467  |     0.6925  |     2.6461  | 
  191  |      0.7825  |     0.6825  |     0.6925  |     2.6682  | 
  192  |      0.7783  |     0.6475  |     0.6925  |     2.6401  | 
  193  |      0.7853  |     0.6488  |     0.6925  |     2.6415  | 
  194  |      0.7833  |     0.6838  |     0.6925  |     2.6801  | 
  195  |      0.7797  |     0.6510  |     0.6925  |     2.6421  | 
  196  |      0.7849  |     0.6542  |     0.6925  |     2.6378  | 
  197  |      0.7886  |     0.6765  |     0.6925  |     2.6661  | 
  198  |      0.7872  |     0.6470  |     0.6925  |     2.6318  | 
  199  |      0.7837  |     0.6493  |     0.6925  |     2.6390  | 
  200  |      0.7836  |     0.6503  |     0.6925  |     2.6343  | 
  201  |      0.7841  |     0.6505  |     0.6925  |     2.6274  | 
  202  |      0.7902  |     0.6505  |     0.6925  |     2.6423  | 
  203  |      0.7850  |     0.6805  |     0.6925  |     2.6696  | 
  204  |      0.7836  |     0.6650  |     0.6925  |     2.6563  | 
  205  |      0.7841  |     0.6818  |     0.6925  |     2.6686  | 
  206  |      0.7793  |     0.6532  |     0.6925  |     2.6513  | 
  207  |      0.7916  |     0.6827  |     0.6925  |     2.6668  | 

Early stopping: no improvement for 50 epochs.

===========================================================================
  Training early stopped!
  Dataset: fisv  Label: TES  Seed: 999
  Best SRCC: 0.6925  |  Best RL2: 2.6617  |  Best Epoch: 157
  Config: query_var=2  pe=query_pe  att_loss=True  dino_loss=True  layers=2
===========================================================================

Experiment record б· exp/0520_2343_fisv_TES.log
